A	B	C	D	E	F	G	H	I	RESP
rIaMwY	3699.0	3481.0	2534.0	294.0	wLOZRO	gkygIZ	eeVQAD	1763.0	1801.0
NwlieP	14.0	3880.0	3835.0	951.0	LHTxOM	DPIKud	epcVJK	2262.0	348.0
StAyqw	5706.0	3321.0	1398.0	2252.0	wLOZRO	epcVJK	CBcUxf	1312.0	615.0
JqymVN	3543.0	875.0	1096.0	1264.0	eeVQAD	wLOZRO	wLOZRO	336.0	5387.0
epcVJK	185.0	3712.0	794.0	3137.0	AWvgct	epcVJK	MdNHJO	2432.0	1396.0
AWvgct	1505.0	745.0	4810.0	11.0	MdNHJO	ZigqKk	pfmxrL	2894.0	60.0
jithza	7424.0	6514.0	464.0	4586.0	JqymVN	UPpvkc	JqymVN	25.0	229.0
uHjRAr	791.0	4070.0	1036.0	4498.0	WstBYV	SYnotp	uHjRAr	4922.0	1431.0
cpWqOw	76.0	2132.0	4124.0	1577.0	cpWqOw	xuoBel	IrOLwQ	3694.0	1029.0
AWvgct	1687.0	6369.0	1302.0	137.0	pfmxrL	UPpvkc	NwlieP	633.0	459.0
JqymVN	513.0	4051.0	1773.0	273.0	eeVQAD	CBcUxf	uHjRAr	1955.0	3241.0
pfmxrL	3956.0	456.0	1206.0	3118.0	gkygIZ	uHjRAr	gkygIZ	58.0	1807.0
ZigqKk	650.0	558.0	731.0	458.0	WstBYV	pfmxrL	StAyqw	1500.0	156.0
KVGcIg	39.0	231.0	3272.0	41.0	gkygIZ	HEBbwK	LHTxOM	2042.0	5014.0
cpWqOw	238.0	155.0	558.0	3214.0	eeVQAD	OhryCL	NwlieP	3775.0	4817.0
HEBbwK	247.0	1131.0	986.0	5924.0	SYnotp	CBcUxf	DPIKud	1011.0	2847.0
KVGcIg	254.0	360.0	1876.0	4386.0	UPpvkc	UPpvkc	eeVQAD	1395.0	254.0
StAyqw	4919.0	711.0	2896.0	2673.0	LHTxOM	JqymVN	eeVQAD	195.0	590.0
JqymVN	685.0	2998.0	429.0	1588.0	FElhOR	FElhOR	gkygIZ	16.0	1102.0
TuCZEm	400.0	147.0	6727.0	1622.0	HEBbwK	FElhOR	OhryCL	254.0	5276.0
JqymVN	9.0	6369.0	4773.0	322.0	xuoBel	DJwYdl	HEBbwK	667.0	7631.0
MdNHJO	1411.0	66.0	1424.0	5327.0	StAyqw	AWvgct	MdNHJO	3160.0	2972.0
WstBYV	584.0	3826.0	742.0	1799.0	gkygIZ	epcVJK	cpWqOw	972.0	2166.0
IrOLwQ	3490.0	2956.0	5878.0	466.0	UPpvkc	JqymVN	SYnotp	6558.0	274.0
NwlieP	2025.0	674.0	3504.0	5413.0	ZigqKk	ZigqKk	DJwYdl	104.0	109.0
TuCZEm	6811.0	4199.0	4397.0	3847.0	JqymVN	JqymVN	wLOZRO	178.0	9128.0
jithza	7.0	6328.0	3560.0	3863.0	UPpvkc	LHTxOM	CBcUxf	133.0	6105.0
DPIKud	424.0	4365.0	3564.0	4557.0	WstBYV	eeVQAD	JqymVN	1859.0	1990.0
jithza	6116.0	2809.0	309.0	224.0	jithza	LHTxOM	SYnotp	1780.0	3981.0
gkygIZ	578.0	907.0	411.0	966.0	cpWqOw	ReOawA	IrOLwQ	4703.0	5530.0
DPIKud	1359.0	103.0	7118.0	3622.0	KVGcIg	KVGcIg	FElhOR	4286.0	693.0
DJwYdl	1099.0	592.0	1391.0	6741.0	AWvgct	xuoBel	ReOawA	1466.0	1599.0
wLOZRO	905.0	1945.0	2206.0	3220.0	FElhOR	HEBbwK	DPIKud	354.0	459.0
ZigqKk	106.0	4433.0	1077.0	2654.0	CBcUxf	JqymVN	rIaMwY	1818.0	3090.0
OhryCL	517.0	5190.0	3281.0	1273.0	TuCZEm	xuoBel	IrOLwQ	37.0	729.0
NwlieP	535.0	755.0	41.0	4792.0	SYnotp	rIaMwY	KVGcIg	7693.0	2676.0
epcVJK	1262.0	3384.0	727.0	2422.0	DJwYdl	DPIKud	DPIKud	776.0	1687.0
UPpvkc	11.0	953.0	583.0	4911.0	ZigqKk	LHTxOM	gkygIZ	1687.0	220.0
DPIKud	3072.0	568.0	4760.0	4997.0	OhryCL	HEBbwK	SYnotp	3652.0	2159.0
uHjRAr	106.0	2059.0	976.0	2803.0	DJwYdl	HEBbwK	KVGcIg	2923.0	3996.0
jithza	5979.0	3231.0	808.0	1288.0	TuCZEm	pfmxrL	ZigqKk	7470.0	533.0
NwlieP	584.0	967.0	1251.0	2407.0	FElhOR	LHTxOM	AWvgct	7611.0	1211.0
UPpvkc	4778.0	663.0	1702.0	1626.0	CBcUxf	cpWqOw	wLOZRO	2688.0	860.0
AWvgct	498.0	2364.0	468.0	1089.0	gkygIZ	DJwYdl	NwlieP	6377.0	1064.0
ZigqKk	2919.0	5063.0	2762.0	22.0	DJwYdl	JqymVN	jithza	392.0	712.0
xuoBel	632.0	4615.0	226.0	1937.0	WstBYV	AWvgct	AWvgct	893.0	7329.0
AWvgct	275.0	151.0	408.0	2678.0	MdNHJO	DPIKud	StAyqw	3290.0	6904.0
IrOLwQ	839.0	359.0	384.0	285.0	MdNHJO	FElhOR	HEBbwK	100.0	1232.0
NwlieP	1133.0	1702.0	3642.0	959.0	gkygIZ	DJwYdl	UPpvkc	3702.0	5505.0
MdNHJO	1127.0	1910.0	1431.0	203.0	SYnotp	MdNHJO	OhryCL	1895.0	5644.0
OhryCL	1814.0	3211.0	1665.0	2074.0	OhryCL	KVGcIg	AWvgct	261.0	4288.0
uHjRAr	1186.0	2998.0	680.0	96.0	cpWqOw	eeVQAD	uHjRAr	1020.0	2550.0
jithza	336.0	3278.0	590.0	2315.0	FElhOR	AWvgct	OhryCL	1443.0	534.0
OhryCL	3224.0	1349.0	5095.0	422.0	FElhOR	DPIKud	gkygIZ	90.0	488.0
AWvgct	1147.0	5839.0	572.0	4738.0	AWvgct	CBcUxf	OhryCL	197.0	7.0
AWvgct	333.0	1919.0	1187.0	4911.0	ZigqKk	HEBbwK	gkygIZ	2916.0	759.0
AWvgct	2873.0	2180.0	61.0	333.0	wLOZRO	ZigqKk	epcVJK	341.0	136.0
ZigqKk	15.0	517.0	2607.0	353.0	NwlieP	LHTxOM	StAyqw	561.0	372.0
TuCZEm	338.0	2939.0	1830.0	865.0	AWvgct	UPpvkc	xuoBel	2393.0	409.0
HEBbwK	201.0	226.0	4311.0	2510.0	OhryCL	MdNHJO	epcVJK	336.0	1514.0
LHTxOM	2848.0	4564.0	1109.0	2444.0	cpWqOw	uHjRAr	KVGcIg	4862.0	5440.0
uHjRAr	687.0	672.0	1757.0	67.0	gkygIZ	JqymVN	AWvgct	1659.0	101.0
epcVJK	189.0	7872.0	5275.0	513.0	rIaMwY	epcVJK	cpWqOw	826.0	4101.0
DJwYdl	685.0	1073.0	4839.0	917.0	KVGcIg	MdNHJO	NwlieP	104.0	2522.0
DJwYdl	1816.0	5791.0	6058.0	3594.0	wLOZRO	DJwYdl	StAyqw	5942.0	1717.0
epcVJK	3884.0	5642.0	6524.0	4014.0	SYnotp	FElhOR	KVGcIg	233.0	488.0
xuoBel	185.0	2966.0	3368.0	2885.0	gkygIZ	IrOLwQ	WstBYV	3968.0	7469.0
NwlieP	459.0	63.0	5665.0	2591.0	LHTxOM	HEBbwK	StAyqw	3810.0	7221.0
gkygIZ	1873.0	153.0	2129.0	1504.0	HEBbwK	DJwYdl	pfmxrL	1.0	4208.0
TuCZEm	1026.0	2402.0	3250.0	254.0	epcVJK	OhryCL	IrOLwQ	3974.0	162.0
MdNHJO	1153.0	1473.0	3884.0	1207.0	HEBbwK	CBcUxf	AWvgct	5448.0	656.0
DJwYdl	4741.0	3595.0	153.0	6190.0	rIaMwY	HEBbwK	xuoBel	17.0	6438.0
jithza	3342.0	880.0	4076.0	524.0	uHjRAr	JqymVN	OhryCL	343.0	406.0
HEBbwK	123.0	1061.0	435.0	1803.0	TuCZEm	epcVJK	gkygIZ	1369.0	1897.0
AWvgct	6385.0	3479.0	4351.0	309.0	IrOLwQ	UPpvkc	HEBbwK	0.0	5026.0
xuoBel	358.0	865.0	440.0	8834.0	DJwYdl	uHjRAr	gkygIZ	748.0	551.0
JqymVN	341.0	3712.0	7853.0	410.0	uHjRAr	epcVJK	TuCZEm	1335.0	401.0
UPpvkc	15.0	62.0	2006.0	483.0	pfmxrL	eeVQAD	MdNHJO	977.0	1074.0
jithza	228.0	807.0	7523.0	1237.0	ReOawA	uHjRAr	UPpvkc	8639.0	45.0
xuoBel	7206.0	1613.0	347.0	683.0	UPpvkc	JqymVN	ReOawA	7433.0	2177.0
xuoBel	164.0	3551.0	1056.0	3298.0	CBcUxf	AWvgct	epcVJK	1285.0	7583.0
CBcUxf	3169.0	4093.0	3161.0	656.0	uHjRAr	LHTxOM	UPpvkc	677.0	6668.0
FElhOR	240.0	343.0	2943.0	2022.0	rIaMwY	CBcUxf	CBcUxf	2256.0	3883.0
pfmxrL	8197.0	6110.0	6760.0	5580.0	HEBbwK	DJwYdl	eeVQAD	246.0	6096.0
OhryCL	4178.0	2092.0	1535.0	403.0	DPIKud	epcVJK	HEBbwK	1774.0	2076.0
uHjRAr	333.0	928.0	263.0	781.0	xuoBel	IrOLwQ	LHTxOM	17.0	5969.0
cpWqOw	1254.0	4325.0	51.0	5204.0	eeVQAD	AWvgct	rIaMwY	943.0	6543.0
OhryCL	983.0	520.0	427.0	1245.0	KVGcIg	CBcUxf	JqymVN	443.0	1721.0
TuCZEm	4379.0	922.0	413.0	516.0	jithza	DJwYdl	cpWqOw	452.0	25.0
ReOawA	2990.0	6756.0	4459.0	3307.0	pfmxrL	WstBYV	eeVQAD	5522.0	5969.0
pfmxrL	4542.0	2768.0	2154.0	1590.0	StAyqw	MdNHJO	CBcUxf	798.0	1014.0
AWvgct	2528.0	267.0	301.0	1183.0	IrOLwQ	DJwYdl	xuoBel	651.0	823.0
rIaMwY	251.0	4656.0	1368.0	1727.0	epcVJK	uHjRAr	NwlieP	554.0	5245.0
xuoBel	2927.0	625.0	1300.0	403.0	jithza	eeVQAD	uHjRAr	3538.0	1901.0
wLOZRO	1751.0	470.0	2316.0	964.0	IrOLwQ	rIaMwY	ReOawA	3.0	6963.0
UPpvkc	2466.0	509.0	4089.0	4620.0	KVGcIg	cpWqOw	ReOawA	380.0	2881.0
HEBbwK	1183.0	156.0	295.0	4371.0	jithza	uHjRAr	epcVJK	1447.0	571.0
ZigqKk	845.0	3524.0	3074.0	1613.0	pfmxrL	IrOLwQ	WstBYV	2133.0	3770.0
JqymVN	1973.0	9185.0	891.0	1354.0	StAyqw	cpWqOw	cpWqOw	879.0	9446.0
UPpvkc	2301.0	503.0	946.0	831.0	NwlieP	ReOawA	StAyqw	510.0	902.0
pfmxrL	3286.0	3944.0	3897.0	499.0	DJwYdl	KVGcIg	uHjRAr	836.0	451.0
TuCZEm	3754.0	1564.0	7687.0	3023.0	SYnotp	uHjRAr	jithza	1336.0	2389.0
epcVJK	510.0	2012.0	6012.0	4950.0	gkygIZ	ZigqKk	NwlieP	4070.0	2388.0
FElhOR	4782.0	2567.0	1476.0	1203.0	DPIKud	StAyqw	eeVQAD	1306.0	362.0
SYnotp	1364.0	77.0	40.0	1204.0	uHjRAr	WstBYV	DPIKud	2587.0	322.0
IrOLwQ	2395.0	233.0	6267.0	1912.0	pfmxrL	AWvgct	DJwYdl	325.0	4852.0
gkygIZ	2942.0	4562.0	1414.0	4999.0	TuCZEm	OhryCL	gkygIZ	3005.0	902.0
LHTxOM	1257.0	477.0	817.0	1453.0	WstBYV	DPIKud	StAyqw	1250.0	3179.0
wLOZRO	3389.0	3331.0	694.0	2609.0	IrOLwQ	StAyqw	ReOawA	1391.0	2827.0
epcVJK	1066.0	181.0	6537.0	86.0	HEBbwK	AWvgct	OhryCL	381.0	1057.0
ZigqKk	4065.0	1948.0	2605.0	705.0	UPpvkc	rIaMwY	TuCZEm	5475.0	2662.0
StAyqw	2091.0	3757.0	4121.0	935.0	MdNHJO	TuCZEm	uHjRAr	4335.0	3140.0
MdNHJO	5585.0	149.0	1359.0	2628.0	StAyqw	LHTxOM	cpWqOw	263.0	640.0
FElhOR	1553.0	1547.0	7810.0	333.0	IrOLwQ	NwlieP	TuCZEm	1962.0	495.0
ZigqKk	2984.0	549.0	147.0	2253.0	HEBbwK	JqymVN	StAyqw	679.0	764.0
cpWqOw	1503.0	444.0	2892.0	2722.0	gkygIZ	WstBYV	uHjRAr	921.0	9.0
DPIKud	5579.0	2546.0	1315.0	1935.0	AWvgct	UPpvkc	ReOawA	673.0	136.0
JqymVN	203.0	2823.0	1229.0	5533.0	FElhOR	MdNHJO	cpWqOw	6346.0	7957.0
FElhOR	845.0	3921.0	6724.0	3731.0	xuoBel	JqymVN	StAyqw	3711.0	7368.0
wLOZRO	2149.0	564.0	2476.0	1228.0	gkygIZ	CBcUxf	WstBYV	400.0	25.0
IrOLwQ	1529.0	200.0	4962.0	5549.0	LHTxOM	HEBbwK	NwlieP	189.0	415.0
DJwYdl	2285.0	5158.0	79.0	3098.0	DJwYdl	MdNHJO	UPpvkc	5692.0	3383.0
CBcUxf	4023.0	2734.0	1863.0	2941.0	cpWqOw	AWvgct	wLOZRO	299.0	4368.0
OhryCL	1159.0	203.0	4503.0	1491.0	TuCZEm	OhryCL	StAyqw	6938.0	726.0
StAyqw	1189.0	5983.0	3847.0	1260.0	NwlieP	xuoBel	StAyqw	6318.0	2266.0
UPpvkc	1537.0	1063.0	3979.0	887.0	cpWqOw	epcVJK	HEBbwK	2366.0	1071.0
StAyqw	5537.0	21.0	2203.0	1560.0	CBcUxf	SYnotp	FElhOR	1766.0	340.0
pfmxrL	5070.0	6338.0	1366.0	9618.0	CBcUxf	AWvgct	gkygIZ	1613.0	4347.0
KVGcIg	4083.0	776.0	1928.0	1531.0	uHjRAr	IrOLwQ	SYnotp	2893.0	58.0
CBcUxf	2253.0	634.0	1048.0	151.0	epcVJK	DPIKud	xuoBel	5680.0	493.0
DJwYdl	6498.0	516.0	1692.0	5478.0	OhryCL	AWvgct	rIaMwY	1038.0	5502.0
LHTxOM	838.0	498.0	2336.0	144.0	uHjRAr	TuCZEm	DPIKud	3619.0	838.0
jithza	2601.0	3070.0	254.0	2618.0	ReOawA	DPIKud	OhryCL	4481.0	5558.0
DJwYdl	1342.0	335.0	3647.0	1907.0	CBcUxf	SYnotp	xuoBel	2730.0	7251.0
IrOLwQ	572.0	447.0	1542.0	3910.0	pfmxrL	ZigqKk	KVGcIg	386.0	196.0
ZigqKk	4674.0	5097.0	800.0	3849.0	pfmxrL	rIaMwY	jithza	179.0	3591.0
MdNHJO	1952.0	779.0	2291.0	1259.0	StAyqw	TuCZEm	NwlieP	55.0	2120.0
ZigqKk	280.0	1278.0	2518.0	7758.0	gkygIZ	ReOawA	IrOLwQ	1113.0	3174.0
rIaMwY	135.0	571.0	3552.0	2649.0	StAyqw	epcVJK	LHTxOM	1568.0	4111.0
wLOZRO	2637.0	5706.0	53.0	2544.0	StAyqw	wLOZRO	gkygIZ	4278.0	3157.0
OhryCL	4207.0	396.0	661.0	4534.0	IrOLwQ	WstBYV	eeVQAD	3678.0	5509.0
DJwYdl	4395.0	5896.0	2231.0	5649.0	xuoBel	ReOawA	rIaMwY	4123.0	896.0
OhryCL	1580.0	3793.0	882.0	1565.0	AWvgct	NwlieP	KVGcIg	1326.0	2540.0
HEBbwK	985.0	2072.0	4903.0	4906.0	JqymVN	JqymVN	HEBbwK	6326.0	4854.0
eeVQAD	2088.0	6964.0	3090.0	3101.0	JqymVN	HEBbwK	NwlieP	109.0	678.0
rIaMwY	102.0	7287.0	2050.0	1036.0	rIaMwY	CBcUxf	cpWqOw	17.0	475.0
epcVJK	5871.0	644.0	5271.0	2825.0	IrOLwQ	DJwYdl	OhryCL	6798.0	4970.0
OhryCL	28.0	1187.0	2568.0	4834.0	rIaMwY	CBcUxf	NwlieP	3444.0	6826.0
FElhOR	61.0	3571.0	8.0	3365.0	xuoBel	ZigqKk	xuoBel	101.0	3222.0
FElhOR	1076.0	3094.0	3974.0	262.0	CBcUxf	TuCZEm	TuCZEm	2189.0	8435.0
CBcUxf	1415.0	5050.0	2442.0	1979.0	TuCZEm	cpWqOw	StAyqw	2458.0	919.0
LHTxOM	2666.0	6310.0	4295.0	2725.0	ZigqKk	gkygIZ	NwlieP	726.0	330.0
StAyqw	1768.0	544.0	1414.0	192.0	JqymVN	SYnotp	KVGcIg	845.0	2005.0
FElhOR	790.0	4801.0	409.0	4022.0	HEBbwK	wLOZRO	MdNHJO	177.0	2126.0
jithza	815.0	2077.0	954.0	586.0	ZigqKk	wLOZRO	LHTxOM	1525.0	4246.0
eeVQAD	645.0	811.0	766.0	2099.0	OhryCL	TuCZEm	epcVJK	1047.0	1283.0
ZigqKk	1793.0	6438.0	7283.0	187.0	FElhOR	gkygIZ	NwlieP	2580.0	9456.0
MdNHJO	21.0	1295.0	413.0	2156.0	CBcUxf	MdNHJO	SYnotp	282.0	48.0
OhryCL	3635.0	72.0	4839.0	1837.0	NwlieP	epcVJK	DPIKud	1131.0	6380.0
StAyqw	1873.0	4497.0	5413.0	4044.0	uHjRAr	JqymVN	eeVQAD	4279.0	3642.0
ReOawA	4112.0	1731.0	2869.0	3094.0	StAyqw	DPIKud	ReOawA	4976.0	1034.0
ZigqKk	7722.0	264.0	66.0	5305.0	TuCZEm	KVGcIg	KVGcIg	6928.0	622.0
ZigqKk	146.0	528.0	1920.0	5094.0	StAyqw	LHTxOM	SYnotp	3365.0	375.0
gkygIZ	6133.0	5635.0	1545.0	309.0	gkygIZ	xuoBel	UPpvkc	1511.0	654.0
pfmxrL	4627.0	937.0	2912.0	2867.0	KVGcIg	IrOLwQ	CBcUxf	4976.0	444.0
uHjRAr	7146.0	205.0	813.0	2151.0	cpWqOw	FElhOR	UPpvkc	3049.0	1712.0
xuoBel	4284.0	380.0	1062.0	1879.0	UPpvkc	DPIKud	NwlieP	884.0	1863.0
OhryCL	21.0	2130.0	140.0	3506.0	wLOZRO	pfmxrL	xuoBel	1853.0	2242.0
gkygIZ	1912.0	7900.0	3553.0	1122.0	gkygIZ	SYnotp	OhryCL	2843.0	806.0
xuoBel	1366.0	239.0	7456.0	4380.0	epcVJK	HEBbwK	jithza	332.0	7943.0
eeVQAD	1979.0	2196.0	8480.0	132.0	LHTxOM	cpWqOw	jithza	322.0	603.0
KVGcIg	3277.0	6310.0	8066.0	3284.0	DPIKud	WstBYV	HEBbwK	3432.0	1487.0
JqymVN	157.0	1388.0	4419.0	1469.0	uHjRAr	AWvgct	CBcUxf	351.0	892.0
WstBYV	922.0	1754.0	622.0	851.0	epcVJK	ZigqKk	TuCZEm	354.0	4694.0
NwlieP	1417.0	3009.0	895.0	413.0	KVGcIg	KVGcIg	pfmxrL	8813.0	8952.0
UPpvkc	1771.0	2978.0	3253.0	2750.0	ZigqKk	FElhOR	StAyqw	4313.0	2219.0
DPIKud	211.0	1597.0	1015.0	3365.0	wLOZRO	KVGcIg	gkygIZ	3767.0	258.0
StAyqw	425.0	124.0	751.0	6409.0	AWvgct	IrOLwQ	DPIKud	1498.0	420.0
IrOLwQ	852.0	5660.0	831.0	3287.0	DPIKud	NwlieP	LHTxOM	1550.0	8966.0
StAyqw	1127.0	777.0	328.0	579.0	xuoBel	cpWqOw	ReOawA	1380.0	1908.0
xuoBel	2801.0	6964.0	1114.0	2909.0	wLOZRO	eeVQAD	CBcUxf	842.0	1515.0
ReOawA	6029.0	5680.0	7500.0	7485.0	eeVQAD	WstBYV	wLOZRO	817.0	559.0
ReOawA	585.0	95.0	2514.0	1402.0	ZigqKk	FElhOR	pfmxrL	6698.0	845.0
CBcUxf	854.0	2646.0	36.0	126.0	CBcUxf	eeVQAD	KVGcIg	160.0	7721.0
IrOLwQ	4748.0	3328.0	4510.0	2885.0	NwlieP	LHTxOM	xuoBel	68.0	1988.0
xuoBel	9488.0	2685.0	4164.0	5347.0	NwlieP	pfmxrL	xuoBel	8106.0	1747.0
eeVQAD	546.0	926.0	359.0	2213.0	epcVJK	TuCZEm	StAyqw	5605.0	1747.0
NwlieP	6561.0	773.0	5100.0	35.0	AWvgct	eeVQAD	DJwYdl	1436.0	397.0
AWvgct	920.0	2105.0	982.0	2369.0	epcVJK	IrOLwQ	ZigqKk	1925.0	792.0
SYnotp	5722.0	1414.0	86.0	2419.0	jithza	ReOawA	jithza	3357.0	1149.0
cpWqOw	5293.0	6149.0	155.0	2626.0	UPpvkc	pfmxrL	uHjRAr	2530.0	1787.0
rIaMwY	6511.0	1498.0	1779.0	6465.0	eeVQAD	AWvgct	WstBYV	2559.0	4276.0
rIaMwY	1473.0	6221.0	5577.0	159.0	eeVQAD	UPpvkc	MdNHJO	1120.0	1923.0
jithza	1078.0	939.0	8304.0	3614.0	TuCZEm	FElhOR	IrOLwQ	1880.0	407.0
DPIKud	566.0	295.0	2412.0	7060.0	ReOawA	LHTxOM	rIaMwY	2233.0	892.0
CBcUxf	2954.0	388.0	3401.0	37.0	OhryCL	KVGcIg	eeVQAD	794.0	153.0
wLOZRO	189.0	1174.0	1684.0	664.0	rIaMwY	ReOawA	epcVJK	973.0	3231.0
cpWqOw	144.0	155.0	1732.0	616.0	pfmxrL	LHTxOM	UPpvkc	2476.0	152.0
rIaMwY	4220.0	2610.0	498.0	6279.0	NwlieP	wLOZRO	SYnotp	319.0	1417.0
wLOZRO	145.0	980.0	3827.0	7411.0	JqymVN	pfmxrL	UPpvkc	1352.0	3483.0
rIaMwY	1069.0	1792.0	3637.0	21.0	CBcUxf	OhryCL	MdNHJO	447.0	1433.0
JqymVN	1311.0	5074.0	3215.0	4305.0	WstBYV	MdNHJO	JqymVN	6215.0	1635.0
xuoBel	4971.0	3949.0	2084.0	3540.0	cpWqOw	OhryCL	pfmxrL	63.0	247.0
rIaMwY	132.0	2192.0	2603.0	2957.0	rIaMwY	uHjRAr	DPIKud	8431.0	1735.0
KVGcIg	3077.0	808.0	1967.0	904.0	HEBbwK	AWvgct	MdNHJO	104.0	1284.0
KVGcIg	666.0	5776.0	800.0	47.0	pfmxrL	epcVJK	MdNHJO	28.0	2521.0
CBcUxf	2543.0	184.0	51.0	1776.0	WstBYV	xuoBel	FElhOR	1519.0	171.0
uHjRAr	1864.0	3621.0	5694.0	2157.0	JqymVN	TuCZEm	xuoBel	6601.0	588.0
DJwYdl	3897.0	3426.0	28.0	2579.0	JqymVN	SYnotp	HEBbwK	2073.0	1496.0
eeVQAD	1717.0	12.0	2807.0	5925.0	eeVQAD	gkygIZ	eeVQAD	358.0	2574.0
cpWqOw	5024.0	24.0	86.0	1648.0	eeVQAD	JqymVN	NwlieP	733.0	1115.0
epcVJK	2631.0	7904.0	208.0	1577.0	jithza	HEBbwK	IrOLwQ	345.0	1445.0
CBcUxf	5331.0	3079.0	2936.0	3253.0	eeVQAD	xuoBel	JqymVN	836.0	1383.0
cpWqOw	10.0	265.0	4658.0	3267.0	SYnotp	DJwYdl	FElhOR	8153.0	874.0
MdNHJO	4828.0	1561.0	2253.0	4080.0	ZigqKk	NwlieP	epcVJK	3059.0	1990.0
eeVQAD	316.0	402.0	7795.0	336.0	StAyqw	CBcUxf	StAyqw	5108.0	5405.0
LHTxOM	7559.0	6037.0	1443.0	1973.0	KVGcIg	DJwYdl	rIaMwY	2442.0	188.0
HEBbwK	3013.0	862.0	50.0	4677.0	FElhOR	KVGcIg	SYnotp	8381.0	6169.0
OhryCL	1991.0	47.0	6354.0	4370.0	IrOLwQ	IrOLwQ	cpWqOw	187.0	252.0
pfmxrL	240.0	4424.0	6248.0	530.0	rIaMwY	IrOLwQ	xuoBel	276.0	6718.0
StAyqw	1215.0	991.0	263.0	1038.0	LHTxOM	ZigqKk	DJwYdl	2195.0	1808.0
jithza	316.0	2343.0	3402.0	3794.0	jithza	UPpvkc	AWvgct	2246.0	3213.0
epcVJK	825.0	2858.0	829.0	1329.0	NwlieP	DPIKud	NwlieP	1767.0	1365.0
AWvgct	3666.0	5332.0	73.0	5798.0	eeVQAD	FElhOR	AWvgct	233.0	2036.0
wLOZRO	1295.0	953.0	1098.0	76.0	JqymVN	CBcUxf	xuoBel	6526.0	2633.0
TuCZEm	4677.0	3177.0	1568.0	3961.0	epcVJK	CBcUxf	LHTxOM	1821.0	2734.0
cpWqOw	933.0	406.0	1712.0	1118.0	jithza	epcVJK	CBcUxf	1001.0	736.0
IrOLwQ	2048.0	2998.0	3539.0	653.0	pfmxrL	HEBbwK	wLOZRO	568.0	1308.0
uHjRAr	3613.0	25.0	1572.0	4381.0	OhryCL	ReOawA	epcVJK	1792.0	2525.0
cpWqOw	2235.0	102.0	675.0	1150.0	ReOawA	jithza	AWvgct	115.0	4885.0
MdNHJO	2787.0	53.0	5242.0	1353.0	DJwYdl	OhryCL	MdNHJO	148.0	2104.0
ReOawA	2024.0	2414.0	4319.0	287.0	gkygIZ	IrOLwQ	jithza	6966.0	4990.0
OhryCL	3098.0	1016.0	1574.0	908.0	jithza	LHTxOM	cpWqOw	1069.0	3750.0
uHjRAr	4510.0	3812.0	3412.0	313.0	HEBbwK	uHjRAr	uHjRAr	1814.0	50.0
rIaMwY	1146.0	6161.0	614.0	3430.0	DPIKud	CBcUxf	KVGcIg	1174.0	76.0
DJwYdl	2483.0	747.0	5859.0	216.0	uHjRAr	WstBYV	eeVQAD	2280.0	5818.0
SYnotp	137.0	1726.0	925.0	1071.0	TuCZEm	OhryCL	LHTxOM	1469.0	255.0
WstBYV	3284.0	4379.0	1852.0	912.0	IrOLwQ	wLOZRO	LHTxOM	4731.0	1696.0
